                                             Damping parameters   Lande 
Spec Ion       WL_air(A) Excit(eV)  log gf*  Rad.   Stark  Waals  factor 
'Fe 1',      5816.37245,    4.548,  -0.600, 8.330,-4.360,-7.510,  0.810, low
'Fe 1',      5817.07539,    4.956,  -1.545, 8.680,-4.650,-7.320,  1.090, low
'Fe 1',      5827.87670,    3.283,  -3.200, 8.220,-5.410,-7.261,  2.270, hi 
'Fe 1',      5835.09966,    4.256,  -2.140, 8.400,-5.520,-7.220,  1.520, hi 
'Fe 1',      5837.70081,    4.294,  -2.340, 7.410,-6.150,-7.480,  0.940, hi 
'Fe 1',      5838.37141,    3.943,  -2.300, 7.750,-5.280,-7.137,  1.510, hi 
'Fe 1',      5849.68293,    3.695,  -2.990, 7.800,-5.860,-7.567,  1.160, hi 
'Fe 1',      5852.21797,    4.548,  -1.240, 8.330,-4.940,-7.188,  1.240, low
'Fe 1',      5853.14830,    1.485,  -5.150, 7.340,-6.120,-7.790,  0.650, hi 
'Fe 1',      5855.07513,    4.608,  -1.570, 8.330,-4.530,-7.158,  0.620, low
'Fe 1',      5856.08760,    4.294,  -1.520, 7.990,-5.220,-7.532,  1.010, low
'Fe 1',      5858.77800,    4.220,  -2.210, 8.480,-4.380,-7.245,  1.460, hi 
'Fe 1',      5859.58557,    4.548,  -0.435, 8.330,-4.380,-7.510,  1.230, low
'Fe 1',      5861.10811,    4.283,  -2.400, 8.380,-4.300,-7.209,  1.570, hi 
'Fe 1',      5864.24364,    4.301,  -2.520, 8.470,-5.450,-7.272,  1.700, hi 
'Fe 1',      5873.21214,    4.256,  -2.060, 8.370,-5.000,-7.279,  1.850, hi 
'Fe 1',      5905.67088,    4.652,  -0.730, 8.330,-4.760,-7.144,  0.300, low
'Fe 1',      5909.97210,    3.211,  -2.687, 8.220,-5.410,-7.279,  1.750, hi 
'Fe 1',      5916.24690,    2.453,  -2.894, 8.070,-6.090,-7.601,  1.030, hi 
'Fe 1',      5930.17990,    4.652,  -0.280, 8.290,-4.700,-7.149,  1.000, low
'Fe 1',      5934.65416,    3.929,  -1.120, 7.780,-5.290,-7.153,  1.050, low
'Fe 1',      5952.71759,    3.984,  -1.440, 7.750,-5.280,-7.136,  0.670, low
'Fe 1',      5956.69327,    0.859,  -4.510, 4.130,-6.170,-7.780,  0.710, hi 
'Fe 1',      5963.23886,    2.223,  -4.830, 8.160,-6.110,-7.790,  1.240, hi 
'Fe 1',      5976.77631,    3.943,  -1.236, 7.750,-5.290,-7.540,  1.100, low
'Fe 1',      5983.67949,    4.548,  -0.570, 8.320,-4.690,-7.510,  1.090, low
'Fe 1',      5984.81467,    4.733,  -0.200, 8.310,-4.990,-7.420,  1.190, low
'Fe 1',      5987.06446,    4.795,  -0.250, 8.300,-4.910,-7.420,  1.000, low
'Fe 1',      5997.77630,    4.608,  -1.038, 8.330,-4.370,-7.520,  0.750, low
'Fe 1',      5999.20000,    4.220,  -2.500, 8.420,-4.940,-7.540,  1.390, hi 
'Fe 1',      6003.01074,    3.882,  -1.035, 7.750,-5.380,-7.181,  1.270, low
'Fe 1',      6005.54083,    2.588,  -3.500, 8.070,-6.290,-7.750,  1.460, hi 
'Fe 1',      6007.95931,    4.652,  -0.680, 8.330,-4.810,-7.510,  1.600, low
'Fe 1',      6008.55548,    3.884,  -0.795, 7.790,-5.380,-7.540,  1.240, low
'Fe 1',      6012.22740,    2.223,  -3.900, 6.720,-6.130,-7.649,  2.500, hi 
'Fe 1',      6015.24311,    2.223,  -4.680, 8.160,-6.110,-7.683,  0.250, hi 
'Fe 1',      6020.16800,    4.608,  -0.260, 8.330,-4.940,-7.189,  1.430, low
'Fe 1',      6024.05681,    4.548,  -0.072, 8.320,-5.280,-7.225,  1.170, low
'Fe 1',      6027.05048,    4.076,  -1.090, 8.010,-6.030,-7.780,  0.960, low
'Fe 1',      6035.33659,    4.294,  -2.500, 7.540,-6.140,-7.502,  0.900, hi 
'Fe 1',      6054.07297,    4.371,  -2.260, 8.310,-5.330,-7.270,  0.520, hi 
'Fe 1',      6056.00422,    4.733,  -0.460, 8.320,-4.970,-7.130,  0.870, low
'Fe 1',      6056.33404,    5.632,  -1.470, 7.900,-5.130,-7.540,  1.030, low
'Fe 1',      6057.25289,    4.991,  -1.860, 8.800,-3.770,-7.330,  1.390, low
'Fe 1',      6062.84720,    2.176,  -4.040, 8.160,-6.110,-7.691,  0.860, hi 
'Fe 1',      6078.49060,    4.795,  -0.200, 8.310,-5.060,-7.410,  0.990, low
'Fe 1',      6082.70976,    2.223,  -3.570, 6.740,-6.130,-7.654,  2.000, hi 
'Fe 1',      6093.64212,    4.608,  -1.350, 8.330,-4.570,-7.202,  0.770, low
'Fe 1',      6096.66370,    3.984,  -1.830, 7.750,-5.290,-7.152,  1.530, hi 
'Fe 1',      6097.08091,    2.176,  -4.990, 6.880,-6.130,-7.790,  1.840, hi 
